Ticker,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,Exchange,CQS Symbol,NASDAQ Symbol
AAT,"AMERICAN ASSETS TRUST, INC. COMMON STOCK",,N,,100,N,,N,AAT,AAT
AAUC,ALLIED GOLD CORPORATION COMMON SHARES,,N,,100,N,,N,AAUC,AAUC
AB,ALLIANCEBERNSTEIN HOLDING L.P.  UNITS,,N,,100,N,,N,AB,AB
ABAT,AMERICAN BATTERY TECHNOLOGY COMPANY - COMMON STOCK,S,N,N,100,N,N,Q,,
ABBV,ABBVIE INC. COMMON STOCK,,N,,100,N,,N,ABBV,ABBV
ABCB,AMERIS BANCORP COMMON STOCK,,N,,100,N,,N,ABCB,ABCB
ABCL,ABCELLERA BIOLOGICS INC. - COMMON SHARES,Q,N,N,100,N,N,Q,,
ABEO,ABEONA THERAPEUTICS INC. - COMMON STOCK,S,N,N,100,N,N,Q,,
ABEV,AMBEV S.A. AMERICAN DEPOSITARY SHARES (EACH REPRESENTING 1 COMMON SHARE),,N,,100,N,,N,ABEV,ABEV
ABG,ASBURY AUTOMOTIVE GROUP INC COMMON STOCK,,N,,100,N,,N,ABG,ABG
ABL,"ABACUS GLOBAL MANAGEMENT, INC. - CLASS A COMMON STOCK",S,N,N,100,N,N,Q,,
ABLLL,"ABACUS GLOBAL MANAGEMENT, INC. - 9.875% FIXED RATE SENIOR NOTES DUE 2028",G,N,N,100,N,N,Q,,
ABLV,ABLE VIEW GLOBAL INC. - CLASS B ORDINARY SHARES,S,N,N,100,N,N,Q,,
ABLVW,ABLE VIEW GLOBAL INC. - WARRANT,S,N,N,100,N,N,Q,,
ABM,ABM INDUSTRIES INCORPORATED COMMON STOCK,,N,,100,N,,N,ABM,ABM
ABNB,"AIRBNB, INC. - CLASS A COMMON STOCK",Q,N,N,100,N,N,Q,,
ABOS,"ACUMEN PHARMACEUTICALS, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
ABP,"ABPRO HOLDINGS, INC - COMMON STOCK",G,N,D,100,N,N,Q,,
ABPWW,"ABPRO HOLDINGS, INC - WARRANT",S,N,N,100,N,N,Q,,
ABR,ARBOR REALTY TRUST COMMON STOCK,,N,,100,N,,N,ABR,ABR
ABR$D,"ARBOR REALTY TRUST 6.375% SERIES D CUMULATIVE REDEEMABLE PREFERRED STOCK, LIQUIDATION PREFERENCE $25.00 PER SHARE",,N,,100,N,,N,ABRPD,ABR-D
ABR$E,ARBOR REALTY TRUST 6.25% SERIES E CUMULATIVE REDEEMABLE PREFERRED STOCK,,N,,100,N,,N,ABRPE,ABR-E
ABR$F,"ARBOR REALTY TRUST 6.25% SERIES F FIXED-TO-FLOATING RATE CUMULATIVE REDEEMABLE PREFERRED STOCK, LIQUIDATION PREFERENCE $25.00 PER SHARE",,N,,100,N,,N,ABRPF,ABR-F
ABSI,ABSCI CORPORATION - COMMON STOCK,Q,N,N,100,N,N,Q,,
ABT,ABBOTT LABORATORIES COMMON STOCK,,N,,100,N,,N,ABT,ABT
ABTS,ABITS GROUP INC - ORDINARY SHARES,S,N,N,100,N,N,Q,,
ABUS,ARBUTUS BIOPHARMA CORPORATION - COMMON STOCK,Q,N,N,100,N,N,Q,,
ABVC,"ABVC BIOPHARMA, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
ABVE,ABOVE FOOD INGREDIENTS INC. - COMMON STOCK,G,N,E,100,N,N,Q,,
ABVEW,ABOVE FOOD INGREDIENTS INC. - WARRANT,G,N,E,100,N,N,Q,,
ABVX,ABIVAX SA - AMERICAN DEPOSITARY SHARES,G,N,N,100,N,N,Q,,
AC,"ASSOCIATED CAPITAL GROUP, INC. COMMON STOCK",,N,,100,N,,N,AC,AC
ACA,"ARCOSA, INC. COMMON STOCK",,N,,100,N,,N,ACA,ACA
ACAD,ACADIA PHARMACEUTICALS INC. - COMMON STOCK,Q,N,N,100,N,N,Q,,
ACB,AURORA CANNABIS INC. - COMMON SHARES,S,N,N,100,N,N,Q,,
ACCO,ACCO BRANDS CORPORATION COMMON STOCK,,N,,100,N,,N,ACCO,ACCO
ACDC,PROFRAC HOLDING CORP. - CLASS A COMMON STOCK,Q,N,N,100,N,N,Q,,
ACEL,"ACCEL ENTERTAINMENT, INC.",,N,,100,N,,N,ACEL,ACEL
ACET,"ADICET BIO, INC. - COMMON STOCK",G,N,D,100,N,N,Q,,
ACFN,"ACORN ENERGY, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
ACGL,ARCH CAPITAL GROUP LTD. - COMMON STOCK,Q,N,N,100,N,N,Q,,
ACGLN,"ARCH CAPITAL GROUP LTD. - DEPOSITARY SHARES, EACH REPRESENTING A 1/1,000TH INTEREST IN A 4.550% NON-CUMULATIVE PREFERRED SHARE, SERIES G",Q,N,N,100,N,N,Q,,
ACGLO,"ARCH CAPITAL GROUP LTD. - DEPOSITARY SHARES EACH REPRESENTING 1/1,000TH INTEREST IN A SHARE OF5.45% NON-CUMULATIVE PREFERRED SHARES, SERIES F",Q,N,N,100,N,N,Q,,
ACHC,"ACADIA HEALTHCARE COMPANY, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
ACHR,ARCHER AVIATION INC. CLASS A COMMON STOCK,,N,,100,N,,N,ACHR,ACHR
ACHR.W,"ARCHER AVIATION INC. REDEEMABLE WARRANTS, EACH WHOLE WARRANT EXERCISABLE FOR ONE CLASS A COMMON STOCK AT AN EXERCISE PRICE OF $11.50",,N,,100,N,,N,ACHR.WS,ACHR+
ACHV,"ACHIEVE LIFE SCIENCES, INC.  - COMMON SHARES",S,N,N,100,N,N,Q,,
ACI,"ALBERTSONS COMPANIES, INC. CLASS A COMMON STOCK",,N,,100,N,,N,ACI,ACI
ACIC,AMERICAN COASTAL INSURANCE CORPORATION - COMMON STOCK,S,N,N,100,N,N,Q,,
ACIU,AC IMMUNE SA - COMMON STOCK,G,N,N,100,N,N,Q,,
ACIW,"ACI WORLDWIDE, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
ACLS,"AXCELIS TECHNOLOGIES, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
ACLX,"ARCELLX, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
ACM,AECOM COMMON STOCK,,N,,100,N,,N,ACM,ACM
ACMR,"ACM RESEARCH, INC. - CLASS A COMMON STOCK",G,N,N,100,N,N,Q,,
ACN,ACCENTURE PLC CLASS A ORDINARY SHARES (IRELAND),,N,,100,N,,N,ACN,ACN
ACNB,ACNB CORPORATION - COMMON STOCK,S,N,N,100,N,N,Q,,
ACNT,ASCENT INDUSTRIES CO. - COMMON STOCK,G,N,N,100,N,N,Q,,
ACOG,ALPHA COGNITION INC. - COMMON STOCK,S,N,N,100,N,N,Q,,
ACON,"ACLARION, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
ACONW,"ACLARION, INC. - WARRANT",S,N,N,100,N,N,Q,,
ACP,ABRDN INCOME CREDIT STRATEGIES FUND COMMON SHARES,,N,,100,N,,N,ACP,ACP
ACP$A,ABRDN INCOME CREDIT STRATEGIES FUND 5.250% SERIES A PERPETUAL PREFERRED STOCK,,N,,100,N,,N,ACPPA,ACP-A
ACR,ACRES COMMERCIAL REALTY CORP. COMMON STOCK,,N,,100,N,,N,ACR,ACR
ACR$C,ACRES COMMERCIAL REALTY CORP. 8.625% FIXED-TO-FLOATING SERIES C CUMULATIVE REDEEMABLE PREFERRED STOCK,,N,,100,N,,N,ACRPC,ACR-C
ACR$D,ACRES COMMERCIAL REALTY CORP. 7.875% SERIES D CUMULATIVE REDEEMABLE PREFERRED STOCK,,N,,100,N,,N,ACRPD,ACR-D
ACRE,ARES COMMERCIAL REAL ESTATE CORPORATION COMMON STOCK,,N,,100,N,,N,ACRE,ACRE
ACRS,"ACLARIS THERAPEUTICS, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
ACRV,"ACRIVON THERAPEUTICS, INC. - COMMON STOCK",G,N,N,100,N,N,Q,,
ACT,"ENACT HOLDINGS, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
ACTG,ACACIA RESEARCH CORPORATION - COMMON STOCK,Q,N,N,100,N,N,Q,,
ACTU,"ACTUATE THERAPEUTICS, INC. - COMMON STOCK",G,N,N,100,N,N,Q,,
ACV,VIRTUS DIVERSIFIED INCOME & CONVERTIBLE FUND COMMON SHARES OF BENEFICIAL INTEREST,,N,,100,N,,N,ACV,ACV
ACVA,ACV AUCTIONS INC. CLASS A COMMON STOCK,,N,,100,N,,N,ACVA,ACVA
ACXP,"ACURX PHARMACEUTICALS, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
AD,"ARRAY DIGITAL INFRASTRUCTURE, INC. COMMON SHARES",,N,,100,N,,N,AD,AD
ADAG,"ADAGENE INC. - ADS, EACH REPRESENTING 1.25 ORDINARY SHARES",G,N,N,100,N,N,Q,,
ADAP,ADAPTIMMUNE THERAPEUTICS PLC - AMERICAN DEPOSITARY SHARES,S,N,D,100,N,N,Q,,
ADBE,ADOBE INC. - COMMON STOCK,Q,N,N,100,N,N,Q,,
ADC,AGREE REALTY CORPORATION COMMON STOCK,,N,,100,N,,N,ADC,ADC
ADC$A,"AGREE REALTY CORPORATION DEPOSITARY SHARES, EACH REPRESENTING 1/1,000TH OF A 4.250% SERIES A CUMULATIVE REDEEMABLE PREFERRED STOCK",,N,,100,N,,N,ADCPA,ADC-A
ADCT,ADC THERAPEUTICS SA COMMON SHARES,,N,,100,N,,N,ADCT,ADCT
ADEA,ADEIA INC.  - COMMON STOCK,Q,N,N,100,N,N,Q,,
ADGM,"ADAGIO MEDICAL HOLDINGS, INC - COMMON STOCK",S,N,D,100,N,N,Q,,
ADI,"ANALOG DEVICES, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
ADIL,"ADIAL PHARMACEUTICALS, INC - COMMON STOCK",S,N,D,100,N,N,Q,,
ADM,ARCHER-DANIELS-MIDLAND COMPANY COMMON STOCK,,N,,100,N,,N,ADM,ADM
ADMA,ADMA BIOLOGICS INC - COMMON STOCK,G,N,N,100,N,N,Q,,
ADN,"ADVENT TECHNOLOGIES HOLDINGS, INC. - CLASS A COMMON STOCK",S,N,D,100,N,N,Q,,
ADNT,ADIENT PLC ORDINARY SHARES,,N,,100,N,,N,ADNT,ADNT
ADNWW,"ADVENT TECHNOLOGIES HOLDINGS, INC. - WARRANT",S,N,D,100,N,N,Q,,
ADP,"AUTOMATIC DATA PROCESSING, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
ADPT,ADAPTIVE BIOTECHNOLOGIES CORPORATION - COMMON STOCK,Q,N,N,100,N,N,Q,,
ADSE,ADS-TEC ENERGY PLC - ORDINARY SHARES,S,N,N,100,N,N,Q,,
ADSEW,ADS-TEC ENERGY PLC - WARRANT,S,N,N,100,N,N,Q,,
ADSK,"AUTODESK, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
ADT,ADT INC. COMMON STOCK,,N,,100,N,,N,ADT,ADT
ADTN,"ADTRAN HOLDINGS, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
ADTX,"ADITXT, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
ADUR,ADURO CLEAN TECHNOLOGIES INC. - COMMON STOCK,S,N,N,100,N,N,Q,,
ADUS,ADDUS HOMECARE CORPORATION - COMMON STOCK,Q,N,N,100,N,N,Q,,
ADV,ADVANTAGE SOLUTIONS INC.  - CLASS A COMMON STOCK,Q,N,N,100,N,N,Q,,
ADVB,ADVANCED BIOMED INC. - COMMON STOCK,S,N,D,100,N,N,Q,,
ADVM,"ADVERUM BIOTECHNOLOGIES, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
ADVWW,ADVANTAGE SOLUTIONS INC.  - WARRANT,Q,N,N,100,N,N,Q,,
ADX,ADAMS DIVERSIFIED EQUITY FUND INC.,,N,,100,N,,N,ADX,ADX
ADXN,ADDEX THERAPEUTICS LTD - AMERICAN DEPOSITARY SHARES,S,N,N,100,N,N,Q,,
AEBI,AEBI SCHMIDT HOLDING AG - COMMON STOCK,Q,N,N,100,N,N,Q,,
AEE,AMEREN CORPORATION COMMON STOCK,,N,,100,N,,N,AEE,AEE
AEFC,AEGON FUNDING COMPANY LLC 5.10% SUBORDINATED NOTES DUE 2049,,N,,100,N,,N,AEFC,AEFC
AEG,AEGON LTD. NEW YORK REGISTRY SHARES,,N,,100,N,,N,AEG,AEG
AEHL,ANTELOPE ENTERPRISE HOLDINGS LIMITED - CLASS A ORDINARY SHARES,S,N,N,100,N,N,Q,,
AEHR,AEHR TEST SYSTEMS - COMMON STOCK,S,N,N,100,N,N,Q,,
AEI,ALSET INC. - COMMON STOCK,S,N,N,100,N,N,Q,,
AEIS,"ADVANCED ENERGY INDUSTRIES, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
AEM,AGNICO EAGLE MINES LIMITED COMMON STOCK,,N,,100,N,,N,AEM,AEM
AEMD,"AETHLON MEDICAL, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
AENT,ALLIANCE ENTERTAINMENT HOLDING CORPORATION - COMMON STOCK,S,N,N,100,N,N,Q,,
AENTW,ALLIANCE ENTERTAINMENT HOLDING CORPORATION - WARRANTS,S,N,N,100,N,N,Q,,
AEO,"AMERICAN EAGLE OUTFITTERS, INC. COMMON STOCK",,N,,100,N,,N,AEO,AEO
AEP,"AMERICAN ELECTRIC POWER COMPANY, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
AER,AERCAP HOLDINGS N.V. ORDINARY SHARES,,N,,100,N,,N,AER,AER
AERT,"AERIES TECHNOLOGY, INC. - CLASS A ORDINARY SHARE",S,N,N,100,N,N,Q,,
AERTW,"AERIES TECHNOLOGY, INC. - WARRANT",S,N,N,100,N,N,Q,,
AES,THE AES CORPORATION COMMON STOCK,,N,,100,N,,N,AES,AES
AESI,ATLAS ENERGY SOLUTIONS INC. COMMON STOCK,,N,,100,N,,N,AESI,AESI
AEVA,"AEVA TECHNOLOGIES, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
AEVAW,"AEVA TECHNOLOGIES, INC. - REDEEMABLE WARRANTS",Q,N,N,100,N,N,Q,,
AEYE,"AUDIOEYE, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
AFB,ALLIANCEBERNSTEIN NATIONAL MUNICIPAL INCOME FUND INC,,N,,100,N,,N,AFB,AFB
AFBI,"AFFINITY BANCSHARES, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
AFCG,ADVANCED FLOWER CAPITAL INC. - COMMON STOCK,G,N,N,100,N,N,Q,,
AFG,"AMERICAN FINANCIAL GROUP, INC. COMMON STOCK",,N,,100,N,,N,AFG,AFG
AFGB,"AMERICAN FINANCIAL GROUP, INC. 5.875% SUBORDINATED DEBENTURES DUE 2059",,N,,100,N,,N,AFGB,AFGB
AFGC,"AMERICAN FINANCIAL GROUP, INC. 5.125% SUBORDINATED DEBENTURES DUE 2059",,N,,100,N,,N,AFGC,AFGC
AFGD,"AMERICAN FINANCIAL GROUP, INC. 5.625% SUBORDINATED DEBENTURES DUE 2060",,N,,100,N,,N,AFGD,AFGD
AFGE,"AMERICAN FINANCIAL GROUP, INC. 4.500% SUBORDINATED DEBENTURES DUE 2060",,N,,100,N,,N,AFGE,AFGE
AFJK,"AIMEI HEALTH TECHNOLOGY CO., LTD - ORDINARY SHARE",G,N,N,100,N,N,Q,,
AFJKR,"AIMEI HEALTH TECHNOLOGY CO., LTD - RIGHT",G,N,N,100,N,N,Q,,
AFJKU,"AIMEI HEALTH TECHNOLOGY CO., LTD - UNIT",G,N,N,100,N,N,Q,,
AFL,AFLAC INCORPORATED COMMON STOCK,,N,,100,N,,N,AFL,AFL
AFRI,FORAFRIC GLOBAL PLC - ORDINARY SHARES,S,N,N,100,N,N,Q,,
AFRIW,FORAFRIC GLOBAL PLC - WARRANTS,S,N,N,100,N,N,Q,,
AFRM,"AFFIRM HOLDINGS, INC. - CLASS A COMMON STOCK",Q,N,N,100,N,N,Q,,
AFYA,AFYA LIMITED - CLASS A COMMON SHARES,Q,N,N,100,N,N,Q,,
AG,FIRST MAJESTIC SILVER CORP. ORDINARY SHARES (CANADA),,N,,100,N,,N,AG,AG
AGAE,ALLIED GAMING & ENTERTAINMENT INC. - COMMON STOCK,S,N,D,100,N,N,Q,,
AGCO,AGCO CORPORATION COMMON STOCK,,N,,100,N,,N,AGCO,AGCO
AGD,ABRDN GLOBAL DYNAMIC DIVIDEND FUND COMMON SHARES OF BENEFICIAL INTEREST,,N,,100,N,,N,AGD,AGD
AGEN,AGENUS INC. - COMMON STOCK,S,N,N,100,N,N,Q,,
AGFY,AGRIFY CORPORATION - COMMON STOCK,S,N,N,100,N,N,Q,,
AGH,AUREUS GREENWAY HOLDINGS INC. - COMMON STOCK,S,N,N,100,N,N,Q,,
AGI,ALAMOS GOLD INC. CLASS A COMMON SHARES,,N,,100,N,,N,AGI,AGI
AGIO,"AGIOS PHARMACEUTICALS, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
AGL,"AGILON HEALTH, INC. COMMON STOCK",,N,,100,N,,N,AGL,AGL
AGM,FEDERAL AGRICULTURAL MORTGAGE CORPORATION COMMON STOCK,,N,,100,N,,N,AGM,AGM
AGM$D,"FEDERAL AGRICULTURAL MORTGAGE CORPORATION 5.700% NON-CUMULATIVE PREFERRED STOCK, SERIES D",,N,,100,N,,N,AGMPD,AGM-D
AGM$E,"FEDERAL AGRICULTURAL MORTGAGE CORPORATION 5.750% NON-CUMULATIVE PREFERRED STOCK, SERIES E",,N,,100,N,,N,AGMPE,AGM-E
AGM$F,"FEDERAL AGRICULTURAL MORTGAGE CORPORATION 5.250% NON-CUMULATIVE PREFERRED STOCK, SERIES F",,N,,100,N,,N,AGMPF,AGM-F
AGM$G,"FEDERAL AGRICULTURAL MORTGAGE CORPORATION 4.875% NON-CUMULATIVE PREFERRED STOCK, SERIES G",,N,,100,N,,N,AGMPG,AGM-G
AGM$H,"FEDERAL AGRICULTURAL MORTGAGE CORPORATION 6.500% NON-CUMULATIVE PREFERRED STOCK, SERIES H",,N,,100,N,,N,AGMPH,AGM-H
AGM.A,FEDERAL AGRICULTURAL MORTGAGE CORPORATION COMMON STOCK,,N,,100,N,,N,AGM.A,AGM.A
AGMH,AGM GROUP HOLDINGS INC. - CLASS A ORDINARY SHARES,S,N,N,100,N,N,Q,,
AGNC,AGNC INVESTMENT CORP. - COMMON STOCK,Q,N,N,100,N,N,Q,,
AGNCL,"AGNC INVESTMENT CORP. - DEPOSITARY SHARES EACH REPRESENTING A 1/1,000TH INTEREST IN A SHARE OF 7.75% SERIES G FIXED-RATE RESET CUMULATIVE REDEEMABLE PREFERRED STOCK",Q,N,N,100,N,N,Q,,
AGNCM,AGNC INVESTMENT CORP. - DEPOSITARY SHARES REP 6.875% SERIES D FIXED-TO-FLOATING CUMULATIVE REDEEMABLE PREFERRED STOCK,Q,N,N,100,N,N,Q,,
AGNCN,"AGNC INVESTMENT CORP. - DEPOSITARY SHARES EACH REPRESENTING A 1/1,000TH INTEREST IN A SHARE OF 7.00% SERIES C FIXED-TO-FLOATING RATE CUMULATIVE REDEEMABLE PREFERRED STOCK",Q,N,N,100,N,N,Q,,
AGNCO,"AGNC INVESTMENT CORP. - DEPOSITARY SHARES, EACH REPRESENTING A 1/1,000TH INTEREST IN A SHARE OF SERIES E FIXED-TO-FLOATING CUMULATIVE REDEEMABLE PREFERRED STOCK",Q,N,N,100,N,N,Q,,
AGNCP,"AGNC INVESTMENT CORP. - DEPOSITARY SHARES EACH REPRESENTING A 1/1,000TH INTEREST IN A SHARE OF 6.125% SERIES F FIXED-TO-FLOATING RATE CUMULATIVE REDEEMABLE PREFERRED STOCK",Q,N,N,100,N,N,Q,,
AGO,ASSURED GUARANTY LTD. COMMON STOCK,,N,,100,N,,N,AGO,AGO
AGRI,AGRIFORCE  GROWING SYSTEMS LTD. - COMMON SHARES,S,N,N,100,N,N,Q,,
AGRO,ADECOAGRO S.A. COMMON SHARES,,N,,100,N,,N,AGRO,AGRO
AGX,"ARGAN, INC. COMMON STOCK",,N,,100,N,,N,AGX,AGX
AGYS,"AGILYSYS, INC. - COMMON STOCK",Q,N,N,100,N,N,Q,,
AHCO,ADAPTHEALTH CORP.  - COMMON STOCK,S,N,N,100,N,N,Q,,
AHG,AKSO HEALTH GROUP - AMERICAN DEPOSITARY SHARES,S,N,N,100,N,N,Q,,
AHH,"ARMADA HOFFLER PROPERTIES, INC. COMMON STOCK",,N,,100,N,,N,AHH,AHH
AHH$A,"ARMADA HOFFLER PROPERTIES, INC. 6.75% SERIES A CUMULATIVE REDEEMABLE PERPETUAL PREFERRED STOCK",,N,,100,N,,N,AHHPA,AHH-A
AHL,ASPEN INSURANCE HOLDINGS LIMITED CLASS A ORDINARY SHARES,,N,,100,N,,N,AHL,AHL
AHL$D,ASPEN INSURANCE HOLDINGS LIMITED 5.625% PERPETUAL NON-CUMULATIVE PREFERENCE SHARES,,N,,100,N,,N,AHLPD,AHL-D
AHL$E,"ASPEN INSURANCE HOLDINGS LIMITED DEPOSITARY SHARES, EACH REPRESENTING A 1/1000TH INTEREST IN A SHARE OF 5.625% PERPETUAL NON-CUMULATIVE PREFERENCE SHARES",,N,,100,N,,N,AHLPE,AHL-E
AHL$F,"ASPEN INSURANCE HOLDINGS LIMITED DEPOSITARY SHARES, EACH REPRESENTING A 1/1,000TH INTEREST IN A 7.00% PERPETUAL NON-CUMULATIVE PREFERENCE SHARE",,N,,100,N,,N,AHLPF,AHL-F
AHR,"AMERICAN HEALTHCARE REIT, INC. COMMON STOCK",,N,,100,N,,N,AHR,AHR
AHT,ASHFORD HOSPITALITY TRUST INC COMMON STOCK,,N,,100,N,,N,AHT,AHT
AHT$D,ASHFORD HOSPITALITY TRUST INC 8.45% SERIES D CUMULATIVE PREFERRED STOCK,,N,,100,N,,N,AHTPD,AHT-D
AHT$F,ASHFORD HOSPITALITY TRUST INC 7.375% SERIES F CUMULATIVE PREFERRED STOCK,,N,,100,N,,N,AHTPF,AHT-F
AHT$G,ASHFORD HOSPITALITY TRUST INC 7.375% SERIES G CUMULATIVE PREFERRED STOCK,,N,,100,N,,N,AHTPG,AHT-G
AHT$H,ASHFORD HOSPITALITY TRUST INC 7.50% SERIES H CUMULATIVE PREFERRED STOCK,,N,,100,N,,N,AHTPH,AHT-H
AHT$I,ASHFORD HOSPITALITY TRUST INC 7.50% SERIES I CUMULATIVE PREFERRED STOCK,,N,,100,N,,N,AHTPI,AHT-I
AI,"C3.AI, INC. CLASS A COMMON STOCK",,N,,100,N,,N,AI,AI
AIFF,"FIREFLY NEUROSCIENCE, INC.  - COMMON STOCK",S,N,N,100,N,N,Q,,
AIFU,AIFU INC. - CLASS A ORDINARY SHARE,Q,N,N,100,N,N,Q,,
AIG,"AMERICAN INTERNATIONAL GROUP, INC. NEW COMMON STOCK",,N,,100,N,,N,AIG,AIG
AIHS,SENMIAO TECHNOLOGY LIMITED - COMMON STOCK,S,N,N,100,N,N,Q,,
AII,"AMERICAN INTEGRITY INSURANCE GROUP, INC. COMMON STOCK",,N,,100,N,,N,AII,AII
AIIO,ROBO.AI INC. - CLASS B ORDINARY SHARES,S,N,N,100,N,N,Q,,
AIIOW,ROBO.AI INC. - WARRANT,S,N,N,100,N,N,Q,,
AIMD,"AINOS, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
AIMDW,"AINOS, INC. - WARRANTS",S,N,N,100,N,N,Q,,
AIN,ALBANY INTERNATIONAL CORPORATION COMMON STOCK,,N,,100,N,,N,AIN,AIN
AIO,VIRTUS ARTIFICIAL INTELLIGENCE & TECHNOLOGY OPPORTUNITIES FUND COMMON SHARES OF BENEFICIAL INTEREST,,N,,100,N,,N,AIO,AIO
AIOT,"POWERFLEET, INC. - COMMON STOCK",G,N,N,100,N,N,Q,,
AIP,"ARTERIS, INC.  - COMMON STOCK",G,N,N,100,N,N,Q,,
AIR,AAR CORP. COMMON STOCK,,N,,100,N,,N,AIR,AIR
AIRE,REALPHA TECH CORP. - COMMON STOCK,S,N,D,100,N,N,Q,,
AIRG,"AIRGAIN, INC. - COMMON STOCK",S,N,N,100,N,N,Q,,
AIRJ,AIRJOULE TECHNOLOGIES CORPORATION - CLASS A COMMON STOCK,S,N,N,100,N,N,Q,,
AIRJW,AIRJOULE TECHNOLOGIES CORPORATION - WARRANT,S,N,N,100,N,N,Q,,
AIRO,"AIRO GROUP HOLDINGS, INC. - COMMON STOCK",G,N,N,100,N,N,Q,,
